输入,输出JSON,校验点
看看 北京仓 上月的 KPI 报告,"解析结果JSON: {""intent"": ""KPI报告"", ""time_window"": ""last_month"", ""granularity"": ""month"", ""aggregation_dimension"": ""物理仓"", ""warehouse"": ""北京仓"", ""metrics"": ""default""}","[MUST] 意图=KPI报告
[MUST] 时间窗=上月（last_month）
[MUST] 仓=北京仓
[SHOULD] 粒度=月（month，默认）
[SHOULD] 汇总维度=物理仓"
看看 帝都仓 上月的 KPI 报告,"解析结果JSON: {""intent"": ""KPI报告"", ""time_window"": ""last_month"", ""granularity"": ""month"", ""aggregation_dimension"": ""物理仓"", ""warehouse"": ""北京仓"", ""warehouse_alias"": ""帝都仓"", ""metrics"": ""default""}","[MUST] 意图=KPI报告
[MUST] 时间窗=上月（last_month）
[MUST] 仓=北京仓（别名""帝都仓""映射）
[SHOULD] 粒度=月（month，默认）
[SHOULD] 汇总维度=物理仓"
把上月的 KPI 报告导成 CSV 给我,"解析结果JSON: {""intent"": ""KPI报告"", ""time_window"": ""last_month"", ""granularity"": ""month"", ""aggregation_dimension"": ""物理仓"", ""export_format"": ""csv"", ""metrics"": ""default""}","[MUST] 意图=KPI报告
[MUST] 时间窗=上月（last_month）
[MUST] 导出格式=csv
[SHOULD] 粒度=月（month，默认）
[SHOULD] 汇总维度=物理仓"
上月本地履约率怎么样？按仓看,"解析结果JSON: {""intent"": ""KPI报告"", ""time_window"": ""last_month"", ""granularity"": ""month"", ""aggregation_dimension"": ""物理仓"", ""metric"": ""local_fulfillment_rate""}","[MUST] 意图=KPI报告
[MUST] 时间窗=上月（last_month）
[MUST] 指标=本地订单满足率（local_fulfillment_rate）
[SHOULD] 粒度=月（month，默认）
[SHOULD] 汇总维度=物理仓"
上月拆单率是多少？按仓看,"解析结果JSON: {""intent"": ""KPI报告"", ""time_window"": ""last_month"", ""granularity"": ""month"", ""aggregation_dimension"": ""物理仓"", ""metric"": ""split_rate""}","[MUST] 意图=KPI报告
[MUST] 时间窗=上月（last_month）
[MUST] 指标=拆单率（split_rate）
[SHOULD] 粒度=月（month，默认）
[SHOULD] 汇总维度=物理仓"
上月旧批次拆单率怎么样？按仓看,"解析结果JSON: {""intent"": ""KPI报告"", ""time_window"": ""last_month"", ""granularity"": ""month"", ""aggregation_dimension"": ""物理仓"", ""metric"": ""old_batch_split_ratio""}","[MUST] 意图=KPI报告
[MUST] 时间窗=上月（last_month）
[MUST] 指标=旧批次拆单率（old_batch_split_ratio）
[SHOULD] 粒度=月（month，默认）
[SHOULD] 汇总维度=物理仓"
上月订单运费是多少？按仓看,"解析结果JSON: {""intent"": ""KPI报告"", ""time_window"": ""last_month"", ""granularity"": ""month"", ""aggregation_dimension"": ""物理仓"", ""metric"": ""order_shipping_cost""}","[MUST] 意图=KPI报告
[MUST] 时间窗=上月（last_month）
[MUST] 指标=订单运费（order_shipping_cost）
[SHOULD] 粒度=月（month，默认）
[SHOULD] 汇总维度=物理仓"
上月物流总运费是多少,"解析结果JSON: {""intent"": ""KPI报告"", ""time_window"": ""last_month"", ""granularity"": ""month"", ""aggregation_dimension"": ""总体"", ""metric"": ""total_cost""}","[MUST] 意图=KPI报告
[MUST] 时间窗=上月（last_month）
[MUST] 指标=总运费（total_cost）
[MUST] 汇总维度=总体
[SHOULD] 粒度=月（month，默认）"
上月调拨总运费是多少,"解析结果JSON: {""intent"": ""KPI报告"", ""time_window"": ""last_month"", ""granularity"": ""month"", ""aggregation_dimension"": ""总体"", ""metric"": ""transfer_cost""}","[MUST] 意图=KPI报告
[MUST] 时间窗=上月（last_month）
[MUST] 指标=调拨运费（transfer_cost）
[MUST] 汇总维度=总体
[SHOULD] 粒度=月（month，默认）"
上月拆单增量成本是多少？按仓看,"解析结果JSON: {""intent"": ""KPI报告"", ""time_window"": ""last_month"", ""granularity"": ""month"", ""aggregation_dimension"": ""物理仓"", ""metric"": ""split_extra_cost""}","[MUST] 意图=KPI报告
[MUST] 时间窗=上月（last_month）
[MUST] 指标=拆单增量成本（split_extra_cost）
[SHOULD] 粒度=月（month，默认）
[SHOULD] 汇总维度=物理仓"
