用例ID,模块,子场景,业务描述,输入,tools工具,输出,校验点
INT-020,意图识别,预测对比报告,同义表达+多仓,出一份 **7月 珠海仓+北京仓** 的预测对比，看 **MA 和 ETS** 谁更准（按周）,NLU意图识别引擎、参数抽取器、时间解析器、同义词映射,"解析结果JSON: {""intent"": ""预测对比报告"", ""time_window"": ""2025-07"", ""warehouse_list"": [""珠海仓"", ""北京仓""], ""granularity"": ""week"", ""algorithms"": [""MA"", ""ETS""]}","[MUST] 意图=预测对比报告
[MUST] 时间窗=2025-07
[MUST] 仓集合={珠海仓, 北京仓}
[MUST] 粒度=周（week）
[MUST] 算法集合={MA, ETS}"
INT-021,意图识别,预测对比报告,缺失粒度→默认周；指定指标,生成 **2025-07 成都仓 A002** 的算法对比，**按 wMAPE 排序**,NLU意图识别引擎、参数抽取器、时间解析器,"解析结果JSON: {""intent"": ""预测对比报告"", ""time_window"": ""2025-07"", ""warehouse"": ""成都仓"", ""sku"": ""A002"", ""granularity"": ""week"", ""metric"": ""wMAPE"", ""sort_by"": ""wMAPE""}","[MUST] 意图=预测对比报告
[MUST] 时间窗=2025-07
[MUST] 仓=成都仓
[MUST] SKU=A002
[MUST] 粒度=周（week，默认）
[MUST] 评价指标=wMAPE
[SHOULD] 算法集合=平台默认"
INT-022,意图识别,预测对比报告,仓别名/纠错,给 **帝都仓** 做 **7月** 预测对比，包含 **Croston**,NLU意图识别引擎、参数抽取器、仓库别名映射器,"解析结果JSON: {""intent"": ""预测对比报告"", ""time_window"": ""2025-07"", ""warehouse"": ""北京仓"", ""warehouse_alias"": ""帝都仓"", ""granularity"": ""week"", ""algorithms_include"": [""Croston""]}","[MUST] 意图=预测对比报告
[MUST] 时间窗=2025-07
[MUST] 仓=北京仓（别名""帝都仓""映射）
[MUST] 粒度=周（week）
[MUST] 算法集合包含=Croston
[SHOULD] 支持别名映射"
INT-023,意图识别,预测对比报告,跨月周偏好说明,生成 **7月 成都仓** 的算法对比，**跨月周并入7月**,NLU意图识别引擎、参数抽取器、跨月周识别器,"解析结果JSON: {""intent"": ""预测对比报告"", ""time_window"": ""2025-07"", ""warehouse"": ""成都仓"", ""granularity"": ""week"", ""cross_month_strategy"": ""merge_to_start_month""}","[MUST] 意图=预测对比报告
[MUST] 时间窗=2025-07
[MUST] 仓=成都仓
[MUST] 粒度=周（week）
[MUST] 跨月周策略=并入起始月
[SHOULD] 算法集合=平台默认"
INT-024,意图识别,预测对比报告,滤条件+窗口参数,对 **7月 珠海仓 A001/A002** 做 **MA/ETS** 对比，**窗口=8周**,NLU意图识别引擎、参数抽取器、时间解析器,"解析结果JSON: {""intent"": ""预测对比报告"", ""time_window"": ""2025-07"", ""warehouse"": ""珠海仓"", ""sku_list"": [""A001"", ""A002""], ""granularity"": ""week"", ""algorithms"": [""MA"", ""ETS""], ""window_param"": ""8周""}","[MUST] 意图=预测对比报告
[MUST] 时间窗=2025-07
[MUST] 仓=珠海仓
[MUST] SKU集合={A001, A002}
[MUST] 粒度=周（week）
[MUST] 算法集合={MA, ETS}
[MUST] 窗口参数=8周"
INT-025,意图识别,活动调整预测,抽取活动窗口、对象与 uplift（百分比）,`7/10-7/20 成都仓 A001 陈列促销，预计 +30%，调整预测`,NLU意图识别引擎、参数抽取器、活动识别器,"解析结果JSON: {""intent"": ""活动调整预测"", ""activity_window"": ""2025-07-10~2025-07-20"", ""sku"": ""A001"", ""warehouse"": ""成都仓"", ""adjustment_method"": ""+30%"", ""adjustment_type"": ""relative""}","[MUST] 意图=活动调整预测
[MUST] 活动窗=07-10~07-20
[MUST] SKU=A001
[MUST] 仓=成都仓
[MUST] 调整方式=+30%（相对提升）
[SHOULD] 作用粒度=日/周（平台既定）"
INT-026,意图识别,活动调整预测,抽取"绝对加量/日"的活动设定，全仓范围,`A002 全渠道 7月12-14 日直播，每日 +400，调上去`,NLU意图识别引擎、参数抽取器、活动识别器,"解析结果JSON: {""intent"": ""活动调整预测"", ""activity_window"": ""2025-07-12~2025-07-14"", ""sku"": ""A002"", ""warehouse"": ""all"", ""adjustment_method"": ""+400/day"", ""adjustment_type"": ""absolute""}","[MUST] 意图=活动调整预测
[MUST] 活动窗=07-12~07-14
[MUST] SKU=A002
[MUST] 仓=全部仓（全渠道）
[MUST] 调整方式=+400/日（绝对增量）
[SHOULD] 冲突处理=与既有活动合并策略"
INT-027,意图识别,活动调整预测,标准活动上调（百分比+时间+范围）,**7/10–7/12** 成都仓 **A002** 预测 **上调20%**,NLU意图识别引擎、参数抽取器、活动识别器,"解析结果JSON: {""intent"": ""活动调整预测"", ""activity_window"": ""2025-07-10~2025-07-12"", ""warehouse"": ""成都仓"", ""sku"": ""A002"", ""adjustment_method"": ""+20%"", ""adjustment_type"": ""relative"", ""apply_mode"": ""覆盖窗口""}","[MUST] 意图=活动调整预测
[MUST] 活动窗口=2025-07-10~2025-07-12
[MUST] 仓=成都仓
[MUST] SKU=A002
[MUST] 调整方式=+20%（相对提升）
[SHOULD] 应用模式=覆盖窗口"
INT-028,意图识别,活动调整预测,多仓同调,**7月第二周** **北京/珠海** 全部SKU **+15%**,NLU意图识别引擎、参数抽取器、活动识别器、时间解析器,"解析结果JSON: {""intent"": ""活动调整预测"", ""activity_window"": ""2025-07-W2"", ""warehouse_list"": [""北京仓"", ""珠海仓""], ""sku"": ""all"", ""adjustment_method"": ""+15%"", ""adjustment_type"": ""relative""}","[MUST] 意图=活动调整预测
[MUST] 活动窗口=2025-07-W2（第二周）
[MUST] 仓集合={北京仓, 珠海仓}
[MUST] SKU=全部SKU
[MUST] 调整方式=+15%（相对提升）"
INT-029,意图识别,活动调整预测,下调与上限,**7/20** 昆山仓 **A003** **下调10%**，**最大不低于P10**,NLU意图识别引擎、参数抽取器、活动识别器、约束识别器,"解析结果JSON: {""intent"": ""活动调整预测"", ""activity_window"": ""2025-07-20"", ""warehouse"": ""昆山仓"", ""sku"": ""A003"", ""adjustment_method"": ""-10%"", ""adjustment_type"": ""relative"", ""lower_bound"": ""P10""}","[MUST] 意图=活动调整预测
[MUST] 活动窗口=2025-07-20
[MUST] 仓=昆山仓
[MUST] SKU=A003
[MUST] 调整方式=-10%（相对下调）
[MUST] 下限约束=P10（不低于第10百分位）"
INT-030,意图识别,活动调整预测,取消已设活动（撤销）,撤销 **7/10–7/12 成都仓 A002 上调20%** 的活动调整,NLU意图识别引擎、参数抽取器、操作类型识别器,"解析结果JSON: {""intent"": ""活动调整预测"", ""operation_type"": ""revert"", ""original_activity_window"": ""2025-07-10~2025-07-12"", ""original_warehouse"": ""成都仓"", ""original_sku"": ""A002"", ""original_adjustment"": ""+20%""}","[MUST] 意图=活动调整预测
[MUST] 操作类型=撤销（revert）
[MUST] 原活动窗口=2025-07-10~2025-07-12
[MUST] 原仓=成都仓
[MUST] 原SKU=A002
[MUST] 原调整值=+20%"
INT-031,意图识别,活动调整预测,活动叠加与优先级,**7/15–7/16** 北京仓 **A001** **店庆+10%**，若与 **大促+20%** 重叠，**取较高**,NLU意图识别引擎、参数抽取器、活动识别器、冲突策略识别器,"解析结果JSON: {""intent"": ""活动调整预测"", ""activity_window"": ""2025-07-15~2025-07-16"", ""warehouse"": ""北京仓"", ""sku"": ""A001"", ""activity_tags"": [""店庆"", ""大促""], ""conflict_strategy"": ""max""}","[MUST] 意图=活动调整预测
[MUST] 活动窗口=2025-07-15~2025-07-16
[MUST] 仓=北京仓
[MUST] SKU=A001
[MUST] 活动标签={店庆, 大促}
[MUST] 冲突策略=取较高值（max）"
INT-032,意图识别,活动调整预测,指定渠道/组织范围,**7月第三周** **成都仓** 电商渠道 **+25%**（仅 **BC组织**）,NLU意图识别引擎、参数抽取器、活动识别器、时间解析器,"解析结果JSON: {""intent"": ""活动调整预测"", ""activity_window"": ""2025-07-W3"", ""warehouse"": ""成都仓"", ""organization"": ""BC"", ""channel"": ""电商"", ""adjustment_method"": ""+25%"", ""adjustment_type"": ""relative""}","[MUST] 意图=活动调整预测
[MUST] 活动窗口=2025-07-W3（第三周）
[MUST] 仓=成都仓
[MUST] 组织=BC
[MUST] 渠道=电商
[MUST] 调整方式=+25%（相对提升）"
INT-033,意图识别,需求预测,识别"生成周度需求预测"，抽取 SKU/仓/时间窗/方法,`请生成7月 成都仓 A001 的周度需求预测，用 MA8`,NLU意图识别引擎、参数抽取器、时间解析器、预测方法识别器,"解析结果JSON: {""intent"": ""需求预测"", ""sku"": ""A001"", ""warehouse"": ""成都仓"", ""time_window"": ""2025-07-01~2025-07-31"", ""granularity"": ""week"", ""forecast_method"": ""MA8""}","[MUST] 意图=生成需求预测
[MUST] SKU=A001
[MUST] 仓=成都仓
[MUST] 时间窗=2025-07-01~2025-07-31（按自然月）
[SHOULD] 粒度=周
[MUST] 方法=MA8"
INT-034,意图识别,需求预测,口语化请求，缺少 SKU 与方法，要求合理默认/补齐策略,`出下月北京仓的预测`,NLU意图识别引擎、参数抽取器、时间解析器、默认值补齐器,"解析结果JSON: {""intent"": ""需求预测"", ""warehouse"": ""珠海仓"", ""time_window"": ""next_month"", ""sku"": ""all"", ""forecast_method"": ""auto_best"", ""granularity"": ""week""}","[MUST] 意图=生成需求预测
[MUST] 仓=珠海仓
[MUST] 时间窗=下月
[SHOULD] SKU=全部SKU
[SHOULD] 方法=auto_best（或平台默认）
[SHOULD] 粒度=周"
INT-035,意图识别,需求预测明细,标准句：指定SKU/仓/周粒度,导出 **7月 A002 北京仓** 的**按周**需求预测明细,NLU意图识别引擎、参数抽取器、时间解析器,"解析结果JSON: {""intent"": ""需求预测明细"", ""time_window"": ""2025-07"", ""warehouse"": ""北京仓"", ""sku"": ""A002"", ""granularity"": ""week"", ""export_format"": ""table""}","[MUST] 意图=需求预测明细
[MUST] 时间窗=2025-07
[MUST] 仓=北京仓
[MUST] SKU=A002
[MUST] 粒度=周（week）
[SHOULD] 格式=表格（默认）"
INT-036,意图识别,需求预测明细,多SKU多仓,给 **成都/昆山仓** 的 **A001、A003** 出 **7月周明细**,NLU意图识别引擎、参数抽取器、时间解析器,"解析结果JSON: {""intent"": ""需求预测明细"", ""time_window"": ""2025-07"", ""warehouse_list"": [""成都仓"", ""昆山仓""], ""sku_list"": [""A001"", ""A003""], ""granularity"": ""week""}","[MUST] 意图=需求预测明细
[MUST] 时间窗=2025-07
[MUST] 仓集合={成都仓, 昆山仓}
[MUST] SKU集合={A001, A003}
[MUST] 粒度=周（week）"
INT-037,意图识别,需求预测明细,缺SKU→默认全部SKU,出 **珠海仓 2025年7月** 的**周预测明细**（全部SKU）,NLU意图识别引擎、参数抽取器、时间解析器、默认值补齐器,"解析结果JSON: {""intent"": ""需求预测明细"", ""time_window"": ""2025-07"", ""warehouse"": ""珠海仓"", ""granularity"": ""week"", ""sku"": ""all""}","[MUST] 意图=需求预测明细
[MUST] 时间窗=2025-07
[MUST] 仓=珠海仓
[MUST] 粒度=周（week）
[SHOULD] SKU=全部SKU（默认）"
INT-038,意图识别,需求预测明细,粒度切换为日,给 **北京仓 A002** 出 **7月按日** 的预测明细,NLU意图识别引擎、参数抽取器、时间解析器,"解析结果JSON: {""intent"": ""需求预测明细"", ""time_window"": ""2025-07"", ""warehouse"": ""北京仓"", ""sku"": ""A002"", ""granularity"": ""day""}","[MUST] 意图=需求预测明细
[MUST] 时间窗=2025-07
[MUST] 仓=北京仓
[MUST] SKU=A002
[MUST] 粒度=日（day）"
INT-039,意图识别,需求预测明细,指定导出格式,导出 **7月 成都仓** 预测明细为 **CSV**,NLU意图识别引擎、参数抽取器、格式识别器,"解析结果JSON: {""intent"": ""需求预测明细"", ""time_window"": ""2025-07"", ""warehouse"": ""成都仓"", ""granularity"": ""week"", ""export_format"": ""CSV""}","[MUST] 意图=需求预测明细
[MUST] 时间窗=2025-07
[MUST] 仓=成都仓
[MUST] 粒度=周（week）
[MUST] 导出格式=CSV"
INT-040,意图识别,需求预测明细,跨月周按规则拆分,**7/29–8/4** 这周的明细，**日级拆分**到 **7月与8月** 分别导出,NLU意图识别引擎、参数抽取器、跨月周识别器,"解析结果JSON: {""intent"": ""需求预测明细"", ""time_range"": ""2025-07-29~2025-08-04"", ""granularity"": ""day"", ""split_by_day"": true, ""split_by_month"": true}","[MUST] 意图=需求预测明细
[MUST] 时间范围=2025-07-29~2025-08-04
[MUST] 粒度=日（day）
[MUST] 按日拆分=是
[MUST] 按月分割导出=是（7月与8月分别）"
INT-041,意图识别,KPI报告,本月 KPI 报告 + 指标集合解析,`生成本月 KPI（预测精度、本地履约率）`,NLU意图识别引擎、参数抽取器、时间解析器、指标识别器,"解析结果JSON: {""intent"": ""KPI报告"", ""time_window"": ""this_month"", ""metrics"": [""预测精度"", ""本地履约率""], ""dimension"": ""SKU×仓""}","[MUST] 意图=生成KPI报告
[MUST] 时间窗=本月
[MUST] 指标集合={预测精度(如WMAPE), 本地履约率}
[SHOULD] 维度=SKU×仓（或平台默认）"
INT-042,意图识别,KPI报告,上月 KPI + 维度 + 导出格式,`出上月 KPI（仓维度），导出 Excel`,NLU意图识别引擎、参数抽取器、时间解析器、格式识别器,"解析结果JSON: {""intent"": ""KPI报告"", ""time_window"": ""last_month"", ""dimension"": ""物理仓"", ""export_format"": ""Excel"", ""metrics"": ""default""}","[MUST] 意图=生成KPI报告
[MUST] 时间窗=上月
[MUST] 维度=物理仓
[SHOULD] 导出=Excel
[SHOULD] 指标集=平台默认或最近一次选择"
FCST-001,需求预测,预测生成,按月语义生成预测，实际输出按周粒度落地,出7月成都仓A001的预测(MA8),需求预测引擎(MA8算法)、时间窗解析器、周粒度转换器、跨月周识别器,"需求预测表CSV: {""周次"": ""2025-W27~W31"", ""SKU"": ""A001"", ""物理仓"": ""成都仓"", ""需求预测"": [120, 135, 142, 138, 128], ""预测方法"": ""MA8"", ""跨月周标记"": [""N"", ""N"", ""N"", ""N"", ""Y""]}","[MUST] 时间窗解析为7/1-7/31
[MUST] 输出按SKU×仓×周
[MUST] 周内跨月标记正确
[MUST] 方法=MA8"
FCST-002,需求预测,预测生成,支持多仓列表输入，按仓分别处理,A001 北京/成都7月预测,需求预测引擎、仓库名称标准化器、异常处理器,"需求预测表CSV: {""SKU"": ""A001"", ""物理仓"": [""北京仓"", ""成都仓""], ""周次数"": 5, ""总行数"": 10}；若仓名非法则返回错误列表，其余仓正常处理","[MUST] 产出行数=(仓数×当月周数)
[MUST] 仓名标准化
[MUST] 任一仓名非法则仅该仓报错且其余不受影响"
FCST-003,需求预测,预测生成,支持多SKU列表输入，按SKU分别处理,A001、A002成都7月预测,需求预测引擎、SKU去重器、异常处理器,"需求预测表CSV: {""SKU列表"": [""A001"", ""A002""], ""物理仓"": ""成都仓"", ""周次数"": 5, ""总行数"": 10}；不存在的SKU返回警告日志","[MUST] 行数=(SKU数×周数)
[MUST] SKU去重
[MUST] 不存在的SKU给出可追溯告警"
FCST-004,需求预测,预测生成,多仓多SKU组合，按笛卡尔积展开,A001/A002 北京/成都7月预测,需求预测引擎、笛卡尔积展开器,"需求预测表CSV: {""组合数"": 4, ""SKU×仓组合"": [[""A001"", ""北京仓""], [""A001"", ""成都仓""], [""A002"", ""北京仓""], [""A002"", ""成都仓""]], ""每组周数"": 5, ""总行数"": 20}","[MUST] 行数=(2 SKU×2仓×周数)
[MUST] 无交叉丢失
[MUST] 输出维度完整"
FCST-005,需求预测,预测生成,支持全部SKU通配，按白名单展开,全部 SKU 成都7月预测,需求预测引擎、SKU白名单查询器、分页处理器,"需求预测表CSV: {""SKU数量"": ""根据白名单"", ""物理仓"": ""成都仓"", ""分页提示"": ""若超1000行则分批处理""}；返回白名单SKU列表和分页信息","[MUST] 实际展开到白名单SKU集
[MUST] 若超平台上限(如>1000)给分页/分批提示"
FCST-006,需求预测,预测生成,支持模糊时间表达，正确解析为具体时间,A001 成都下月预测,需求预测引擎、时间解析器(支持相对时间)、自然月解析器,"需求预测表CSV: {""时间窗"": ""下月转为具体月份(如2025-08)"", ""SKU"": ""A001"", ""物理仓"": ""成都仓"", ""周数"": ""按实际周数(4或5周)""}","[MUST] 正确将""下月""转为下一个自然月
[MUST] 闰月/5周月仍能按周拆分"
FCST-007,需求预测,预测生成,处理跨月周边界情况，正确标记,A001 成都 7/29-8/4 这一周预测,需求预测引擎、跨月周识别器、财务拆分规则引擎,"需求预测表CSV: {""周次"": ""2025-W31"", ""周起止"": ""2025-07-29~2025-08-04"", ""跨月周标记"": ""Y"", ""财务拆分说明"": ""按自然日拆分到7月和8月""}","[MUST] 仍按自然周出1条
[MUST] 跨月周标记=Y
[MUST] 周归属口径与月度汇总口径说明一致"
FCST-008,需求预测,预测生成,缺少预测方法时，使用默认最优算法,A001成都7月预测,需求预测引擎、默认算法选择器、元数据记录器,"需求预测表CSV: {""SKU"": ""A001"", ""物理仓"": ""成都仓"", ""预测方法"": ""auto_best"", ""元数据"": ""使用默认算法""}","[MUST] 方法=auto_best(平台默认)
[MUST] 回写""使用默认算法""的元数据"
FCST-009,需求预测,预测生成,处理别名仓名，映射到标准仓名,A001 帝都仓7月预测,需求预测引擎、仓库别名映射器、异常处理器,"需求预测表CSV: {""SKU"": ""A001"", ""输入仓名"": ""帝都仓"", ""标准仓名"": ""北京仓"", ""映射状态"": ""成功""}；若映射失败返回""未知仓""警告，任务继续","[MUST] 别名→标准仓(北京仓)
[MUST] 若无法映射则报""未知仓"",整体任务不中断"
FCST-010,需求预测,预测生成,处理超长SKU列表，支持批量切片和限流,A[001..200] 北京7月预测,需求预测引擎、批量切片器、并发控制器、结果合并器,"需求预测表CSV: {""SKU数量"": 200, ""批次数"": ""按平台限制切片"", ""并发控制"": ""速率限制"", ""合并策略"": ""按SKU排序去重""}",[MUST] 触发并验证批量切片、并发/速率控制、合并结果顺序与去重一致性
FCST-011,需求预测,预测生成,处理无历史数据或全0历史数据情况,A009 成都7月预测"且历史=0,需求预测引擎、历史数据检查器、回退策略引擎,"需求预测表CSV: {""SKU"": ""A009"", ""物理仓"": ""成都仓"", ""历史数据"": 0, ""预测方法"": ""简单均值"", ""置信度标记"": ""低置信"", ""周粒度行"": ""正常产出""}","[MUST] 仍产出周粒度行
[MUST] 方法回退为简单均值或输出""低置信""标记
[MUST] 不报错"
FCST-012,需求预测,预测生成,处理已停采或作废的SKU,A000(停采)北京7月预测,需求预测引擎、SKU状态检查器、异常处理器,"告警日志: {""SKU"": ""A000"", ""状态"": ""停采"", ""输出行数"": 0, ""告警信息"": ""SKU已停采，无法生成预测""}；整体任务继续执行其他SKU","[MUST] 返回0行并有可追溯告警
[MUST] 整体任务不中断"
FCST-013,需求预测,预测生成,处理重复提交，保证幂等性,同一条指令重复提交两次,需求预测引擎、幂等性检查器、任务日志记录器,"任务日志: {""请求ID"": ""相同"", ""执行次数"": 1, ""幂等标记"": ""命中"", ""两次结果"": ""完全一致""}","[MUST] 两次结果一致
[MUST] 仅写一次任务日志(或标记为幂等命中)"
FCST-014,需求预测,预测生成,处理别名和全半角字符混用,A001 帝都仓7月预测,需求预测引擎、仓库别名映射器、字符标准化器,"需求预测表CSV: {""SKU"": ""A001"", ""输入仓名"": ""帝都仓"", ""标准仓名"": ""北京仓"", ""输入月份"": ""全角7"", ""标准月份"": 7}","[MUST] 别名→北京仓
[MUST] 全角""7""正确解析为7
[MUST] 其余维度不受影响"
FCST-015,需求预测,预测生成,处理大规模数据，支持分页处理,全部 SKU 成都7月预测"(>1000行),需求预测引擎、批量切片器、分页处理器、结果合并器,"需求预测表CSV: {""总行数"": "">1000"", ""分页策略"": ""按SKU切片"", ""排序规则"": ""SKU,仓,周"", ""合并状态"": ""不丢不重""}","[MUST] 触发批量切片与分页
[MUST] 最终结果合并不丢不重,排序=SKU,仓,周"
